object_id,natural_week,start_date,quantity
1_1_16_8,157,5/12/2019,34
1_1_16_8,156,5/19/2019,34
1_1_16_8,155,5/26/2019,40
1_1_16_8,154,6/2/2019,69
1_1_16_8,153,6/9/2019,82
1_1_16_8,152,6/16/2019,110
1_1_16_8,151,6/23/2019,137
1_1_16_8,150,6/30/2019,146
1_1_16_8,149,7/7/2019,96
1_1_16_8,148,7/14/2019,108
1_1_16_8,147,7/21/2019,123
1_1_16_8,146,7/28/2019,113
1_1_16_8,145,8/4/2019,152
1_1_16_8,144,8/11/2019,182
1_1_16_8,143,8/18/2019,143
1_1_16_8,142,8/25/2019,163
1_1_16_8,141,9/1/2019,179
1_1_16_8,140,9/8/2019,278
1_1_16_8,139,9/15/2019,234
1_1_16_8,138,9/22/2019,229
1_1_16_8,137,9/29/2019,236
1_1_16_8,136,10/6/2019,237
1_1_16_8,135,10/13/2019,263
1_1_16_8,134,10/20/2019,303
1_1_16_8,133,10/27/2019,333
1_1_16_8,132,11/3/2019,428
1_1_16_8,131,11/10/2019,649
1_1_16_8,130,11/17/2019,691
1_1_16_8,129,11/24/2019,444
1_1_16_8,128,12/1/2019,802
1_1_16_8,127,12/8/2019,1230
1_1_16_8,126,12/15/2019,1617
1_1_16_8,125,12/22/2019,1743
1_1_16_8,124,12/29/2019,541
1_1_16_8,123,1/5/2020,240
1_1_16_8,122,1/12/2020,102
1_1_16_8,121,1/19/2020,96
1_1_16_8,120,1/26/2020,97
1_1_16_8,119,2/2/2020,115
1_1_16_8,118,2/9/2020,81
1_1_16_8,117,2/16/2020,57
1_1_16_8,116,2/23/2020,36
1_1_16_8,115,3/1/2020,39
1_1_16_8,114,3/8/2020,47
1_1_16_8,113,3/15/2020,39
1_1_16_8,112,3/22/2020,8
1_1_16_8,111,3/29/2020,4
1_1_16_8,108,4/19/2020,1
1_1_16_8,106,5/3/2020,3
1_1_16_8,105,5/10/2020,4
1_1_16_8,104,5/17/2020,4
1_1_16_8,103,5/24/2020,1
1_1_16_8,102,5/31/2020,6
1_1_16_8,101,6/7/2020,13
1_1_16_8,100,6/14/2020,25
1_1_16_8,99,6/21/2020,50
1_1_16_8,98,6/28/2020,58
1_1_16_8,97,7/5/2020,63
1_1_16_8,96,7/12/2020,64
1_1_16_8,95,7/19/2020,78
1_1_16_8,94,7/26/2020,49
1_1_16_8,93,8/2/2020,44
1_1_16_8,92,8/9/2020,99
1_1_16_8,91,8/16/2020,89
1_1_16_8,90,8/23/2020,117
1_1_16_8,89,8/30/2020,148
1_1_16_8,88,9/6/2020,196
1_1_16_8,87,9/13/2020,205
1_1_16_8,86,9/20/2020,229
1_1_16_8,85,9/27/2020,254
1_1_16_8,84,10/4/2020,304
1_1_16_8,83,10/11/2020,288
1_1_16_8,82,10/18/2020,265
1_1_16_8,81,10/25/2020,300
1_1_16_8,80,11/1/2020,403
1_1_16_8,79,11/8/2020,382
1_1_16_8,78,11/15/2020,448
1_1_16_8,77,11/22/2020,353
1_1_16_8,76,11/29/2020,593
1_1_16_8,75,12/6/2020,823
1_1_16_8,74,12/13/2020,991
1_1_16_8,73,12/20/2020,922
1_1_16_8,72,12/27/2020,566
1_1_16_8,71,1/3/2021,272
1_1_16_8,70,1/10/2021,132
1_1_16_8,69,1/17/2021,49
1_1_16_8,68,1/24/2021,55
1_1_16_8,67,1/31/2021,62
